text,label
"every character trash. they trash purpose. if do not get that, do not get joke.",2
posted new song guala,2
ont like no dramatic bitch so just separate myself n shit,1
rt got this bitch work mad bc her ex bitch dick,1
rt trust no bitch,1
"one time this girl asked what problem was, instantly replied love bad bitches",1
hate when females try sound like bird heads,2
fairy tale world lmao,2
like nike bitch just do it!,1
trippy hoes,1
this bitch buys sparkling water.,2
"hey sir house nigger, uncle tom not grand ole mississippi, rest case!",0
man there lot fat bitches here,1
egypt? r muzzie bros still running things? . only tad better. certainly no respectors dem though,2
"nice unfollow me, fag",0
rt larry elder uncle tom. cannot believe how degrading child.,2
"moral story if like yanks, pretty much do anything tell do.",2
rt am never watching brave heart again! cunts do not want freedom,1
rt there might couple cotton pickers spurs but they all play unselfish white man basketball,0
rt god yankees fan.,2
sad sad day when bitch loses her sponsor,1
"grandmas homemade potato soup old fashioned, simple, chunky potato soup like grandma made, wit",2
"yea am illiterate, hot skillet bitch.",1
"convince u lame, you, nigger liver believes cuz nigger whore",0
pappadeaux bread scampi butter rt her pussy tastes like?,1
"faaggott, speaking blonde hair confused, hypocrite, cuz faggot",0
rt really hate attention seeking hoes. hope they all die,0
yeah ok nigger.,0
rt incase any hillbillies try roast..,2
rt uncle charlie nem lol,2
jim crow laws segregation lynching laws.. anti womans suffrage laws.. amazing how everyone doesnt want bring up,2
yea native black proud then bitch,1
who wouldve known jesusll come back ghetto level thorough like black heroine.,2
rt lol do not need halloween dress like ho. know myself. everyday another opportunity.,1
heard green tea makes lose weight.. imma coon so explains watermelon,2
little fag. least fuck woman have kids. plus work support them. hipster homo,0
cuz ur bird bitch,1
feel that.. see nothing wrong gta killing bc not sole purpose game,2
oh coon bike week charlotte ok makes sense now,2
come stay alive knights nation!! this still early bird special.,2
rt naming son caesar. dawn apes absolute best movie have ever seen entire life.,2
"want some cookies, brownies ice cream.",2
know why ultimate warrior died? god loves fag ? antigay crusader so little light jokes necessary,0
good morning coons.,0
rt am finally finished work. am going have chug this bottle wine catch up guys. challenge accepted.,2
niggers,0
rt but she hoe tho right?,1
rt if am not gator gator bait,2
niger,0
rt rt these hoes am everything,1
